,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31
currentRatio,1.5664998212370398,1.825566963782015,1.9574690150032616,2.0864637718069527,2.240710209258085,2.0402298850574714,2.227954684629516,2.1794448116325182,2.0402775427314266,2.2188376753507013,2.324870167339873,1.669150521609538,1.5062080195399958,1.5471287128712872,1.6242065171392297,1.7379373427852733,1.8725617685305591,2.3858075040783033,1.6175428233904312,1.8658394445102588,1.8658878687243603,2.382776607542055,2.3072132510092613,2.174602934388644,2.8598864578283103,1.7285458276729195,1.6498476458831624,1.5260995817953622,1.3615276738548943,1.3648018648018647,1.2134570765661252,1.2534046692607004,1.3777325876970006,1.6826417299824663,1.8164513936097892,1.4200554528650646,1.3071428571428572
quickRatio,1.1313907758312478,1.4381135055850163,1.488454011741683,1.6456131414745956,1.798858592263792,1.6631400208986415,1.7553582363747704,1.6809319233311302,1.5987476730411236,1.7801603206412826,1.9122908251586843,0.8051415797317437,0.9157337675554651,0.778019801980198,0.9570461278036394,0.9249942831008461,0.9843953185955787,1.250815660685155,0.7542823390431187,0.9489794748527777,0.9010744285993358,1.0819862583684894,1.176697933982427,1.2971692759369537,2.1279617147057444,0.9247622626239269,0.8662279367367667,0.7293155430408063,0.7079291542145895,0.7453379953379954,0.4947795823665893,0.4708171206225681,0.5719369598373157,0.7603740502630041,0.6335825968728755,0.7809611829944547,0.5285714285714286
cashRatio,0.39622810153736143,0.6466207830305766,0.48793215916503585,0.33070164268432445,0.439568801521877,0.4315569487983281,0.49540722596448256,0.5277594183740912,0.6442714503300051,0.5348697394789579,0.8913252548567032,0.22149776453055142,0.15530225931202932,0.05821782178217822,0.07871349978840457,0.058998399268236905,0.07802340702210664,0.10236541598694943,0.05522740696987596,0.12552401988696074,0.08110568470404377,0.08969612335783983,0.08763357872239373,0.2850094962809386,1.1408642342159179,0.046282914703587016,0.026651439056012957,0.03929641585194722,0.053327000882659986,0.03496503496503497,0.02088167053364269,0.01556420233463035,0.02440264361972547,0.014611338398597311,0.024473147518694765,0.02356746765249538,0.08988095238095238
daysOfSalesOutstanding,65.43163129786092,73.74883431768728,71.89745046279279,74.11289563662599,72.88550739146395,70.4886630179828,72.15099546619356,73.6506791171477,77.73493360572013,80.06548754705307,78.61210172464192,76.78405962532733,68.47301029374843,57.563234847498805,65.52982137450803,63.95479572479526,60.242718446601934,62.17651684713568,56.44182400209055,53.536563201960384,66.54433890801941,49.46348196434939,64.42562694786108,53.21001472368835,55.315924253575,56.80211548234559,42.38245499329997,39.5922051391071,44.66692353438817,42.5246105323521,33.898488120950326,36.531223267750214,40.26477517156612,45.86763836911562,33.70156636438582,65.67515643868701,30.537518447042796
daysOfInventoryOutstanding,73.34403052064631,61.29287672765934,61.034768211920536,59.081757331066726,60.45961319681456,58.50344695518959,53.290430339948905,50.79808912941805,51.152898550724636,46.330303736502756,51.31146172468487,51.358190357519405,52.66400590287094,56.94920880823282,53.12559070439762,63.92983386355602,61.524827998803474,62.89388237030477,73.17775974025975,62.537940205586054,74.90152453323357,61.92603476022208,71.67097164839153,49.95484180944859,43.56947844168238,47.804566131243305,28.595912048432535,34.82069897839765,32.281422931129406,33.11270539227031,34.71585640482183,40.014745480189774,38.242989557667485,36.415592996366044,37.18867924528302,38.8433674743942,28.27927927927928
operatingCycle,138.77566181850722,135.04171104534663,132.93221867471334,133.19465296769272,133.34512058827852,128.99210997317238,125.44142580614246,124.44876824656575,128.88783215644477,126.39579128355582,129.9235634493268,128.14224998284675,121.13701619661937,114.51244365573163,118.65541207890564,127.88462958835129,121.7675464454054,125.07039921744045,129.6195837423503,116.07450340754644,141.44586344125298,111.38951672457148,136.0965985962526,103.16485653313694,98.88540269525737,104.6066816135889,70.97836704173251,74.41290411750475,76.94834646551757,75.63731592462241,68.61434452577215,76.54596874793998,78.5077647292336,82.28323136548167,70.89024560966884,104.51852391308121,58.81679772632208
daysOfPayablesOutstanding,122.1963644524237,121.564545912372,102.65121412803533,105.44358266043349,111.07792946530148,123.15779394867867,101.58413571756074,96.03594574731075,102.38514492753623,93.25603977316865,92.17171717171718,92.01092686667305,76.60886772202844,55.47499170078565,62.013676544170785,61.62896194179333,55.98377206102303,42.77322706811305,42.81047077922078,41.02262387329605,50.42252177716415,33.50569751985606,35.6160128500701,28.69315700786949,33.786201710289674,49.29435477306103,31.110551600305996,31.77090791122248,35.70209484566136,26.22830363341819,28.9137634123725,36.08347224003077,31.947671007861082,25.603457768968177,19.82561463693539,24.25430926804896,22.68918918918919
cashConversionCycle,16.579297366083523,13.477165132974633,30.281004546678005,27.751070307259226,22.26719112297704,5.8343160244937025,23.85729008858172,28.412822499255,26.502687228908542,33.13975151038717,37.751846277609616,36.131323116173704,44.528148474590935,59.03745195494598,56.641735534734856,66.25566764655795,65.78377438438237,82.2971721493274,86.80911296312952,75.05187953425039,91.02334166408883,77.88381920471542,100.4805857461825,74.47169952526745,65.0992009849677,55.312326840527874,39.867815441426515,42.64199620628227,41.24625161985622,49.40901229120422,39.70058111339965,40.46249650790921,46.56009372137252,56.67977359651349,51.06463097273345,80.26421464503225,36.127608537132886
grossProfitMargin,0.37042583853739863,0.38275826339239455,0.39452668159187354,0.4095172370526052,0.4133546901591751,0.41673182173573103,0.39810762862211707,0.3647283531409168,0.35927198439966573,0.3362037848708297,0.2996784565916399,0.29946954945276305,0.2514185287471755,0.2158445051846067,0.22204921932442367,0.21463933743580252,0.20838266635093536,0.18026737644425625,0.1951394786698896,0.20404329181131306,0.175772006574261,0.1988260700591773,0.19909148728784612,0.2038277230377225,0.20494947396982005,0.21374359473267168,0.1444739346310454,0.1539446076068803,0.1494911506277903,0.1740418617987193,0.14186654541320906,0.1660607356715141,0.12701014032571956,0.10567264132361631,0.09882522671063479,0.1210890328246789,0.11794755363832445
operatingProfitMargin,0.17222865862273587,0.15469899492280592,0.15541150131987838,0.1730606355280906,0.1736910601661828,0.17141367884135672,0.15734279519022276,0.12190152801358234,0.11574890890519082,0.10390347032434384,0.08173048816135633,0.05499227825152756,0.06733617875972885,0.060783548093192766,0.06504908957225033,0.06472956091241383,0.05931802036466967,0.037626277902123285,0.06029920951198798,0.06351439656932815,0.04312447661307416,0.07011286555096578,0.09265925192512901,0.08762719751866072,0.07648957844350773,0.07632556871349333,0.07131223418372962,0.07468843416966013,0.06879140944994011,0.054477683264838,0.022393997953847902,0.05731394354148845,0.030216122093618764,0.028461689974394327,0.025247320692497938,0.05280491821275662,0.043251220342831194
