,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31
currentRatio,1.8495993895459748,1.7167212564037961,1.4422351100064439,1.623612960497115,2.2606597845601435,4.020420420420421,1.540931852819508,1.4490125332320547,2.024508257073735,2.358596979437622,1.5354279019663017,1.2928379045504244,1.7865750145465467,1.4702117201068194,1.5426017968472456,0.9439962279922636,1.5354334170227444,1.572669919497706,1.3469949414460436,1.302700493359089,1.0621147176729322,1.7163868166439404,1.421333797978219,1.1191041904216055,1.0007428788900834,1.031582398208723,1.1151347883051377,1.1152121514465747,1.1585178095939395,1.1614375561545374,1.2968644866101466,1.2299235420518715,1.5198034113905754,1.6340277777777779,1.4498991257565568,1.4486196319018405,2.1319796954314723
quickRatio,1.27706982067913,1.1389938691525994,0.8805118291448034,1.0284065690190856,1.667302513464991,3.306756756756757,1.0388634879163945,0.7639574629699962,1.2710634269485641,1.7158540669942928,1.0194474525827397,0.7319642177922302,1.2624240688658384,0.9097108948759772,0.8532863656366421,0.46895536387783815,0.8809756140976877,0.8431551660180343,0.6021044474565533,0.5560389431781603,0.44485283311069246,0.7762973701233729,0.6153006025844913,0.470236950855339,0.40547203795912495,0.4217335061192983,0.49566737742572253,0.5132093699814665,0.5541467295091687,0.4891284815813118,0.5433544161844526,0.5517965119184448,0.6550303555941024,0.9479166666666666,0.8392737054472091,0.8489263803680982,1.2690355329949239
cashRatio,0.7477298740938573,0.5742840346014949,0.3553346221117555,0.42654238792720817,1.0555430879712746,2.795795795795796,0.5444154147615937,0.38577668059248005,0.36552014305248764,0.813405108486514,0.4400981690967342,0.21134742644055873,0.6750715679364916,0.35473211140047006,0.26983510774909875,0.04361003230220911,0.3902206913775633,0.1795622508293723,0.13025976057443286,0.10060406712060006,0.08293089142842582,0.21273053886642126,0.13463270065319655,0.062116520217342326,0.04568983257019411,0.025372048869666233,0.07418831263056307,0.08351069920416955,0.09715105302764228,0.0419047619047619,0.027093706544655274,0.01699065513967318,0.009829430471234461,0.27152777777777776,0.16812373907195696,0.2093558282208589,0.5545685279187818
daysOfSalesOutstanding,54.96819500870575,67.64649791955617,62.06510155466399,61.85590947740206,69.94833880978459,56.85129237999328,61.14040676304827,64.64612041290067,66.59145001830831,69.68701840376326,72.18892957883295,74.5640291569976,77.61518629122651,67.56286128968632,69.6763586102744,68.7108340056705,58.44484875149791,68.55085763141656,61.45061642297697,60.41902240376307,63.04143977929471,57.871706403560154,56.94358695136643,57.04279625207718,54.74406279920784,56.632026175243745,56.98140387611347,58.54182045911052,58.00786598893438,57.84663584610094,61.088110403397025,63.42621007680193,60.56647087252315,57.814462224022684,60.556061987237925,59.906775210084035,61.15922619047619
daysOfInventoryOutstanding,101.54312995630362,121.93427981070451,119.06431864560501,109.04611994333385,106.53846153846153,98.44968971631207,108.45261232422546,104.65339553048383,97.90288844621513,91.5489458864246,77.13681760912398,79.36397355043152,90.21503703935304,80.3348491621724,94.31553068513296,104.36355818206289,87.19224289644191,107.66007343184053,105.50895632578575,104.7553047440154,104.20146748056561,101.87880751688748,91.32011852406059,95.44497474344422,92.58686345026378,95.50824514296076,93.73826721269221,93.05344041848541,93.16688726193284,102.44906580016247,107.79463962332488,111.12050739957716,112.94180411683635,94.77900552486187,106.27021883920077,102.38758029978587,99.91740412979351
operatingCycle,156.51132496500935,189.58077773026068,181.129420200269,170.90202942073591,176.4868003482461,155.30098209630535,169.59301908727372,169.2995159433845,164.49433846452342,161.23596429018787,149.32574718795695,153.92800270742913,167.83022333057954,147.89771045185873,163.99188929540736,173.0743921877334,145.63709164793983,176.21093106325708,166.95957274876272,165.17432714777848,167.24290725986032,159.75051392044764,148.263705475427,152.4877709955214,147.33092624947162,152.1402713182045,150.71967108880568,151.59526087759593,151.1747532508672,160.2957016462634,168.8827500267219,174.5467174763791,173.5082749893595,152.59346774888456,166.82628082643868,162.2943555098699,161.07663032026971
daysOfPayablesOutstanding,86.79505853158548,96.000133306672,89.71203990628071,85.46159294821344,71.06508875739645,47.64738475177305,45.108608665828285,42.130614016055546,37.29980079681275,43.38052799662004,40.42393237575431,38.22330011090206,35.383919198318104,39.11142400481065,38.970958880746934,43.71715981431557,35.4162586970477,43.321989919808935,67.59377557155729,71.30074531045041,71.84770639857456,79.3336446722574,74.9185209822085,71.49470445593899,72.41567337432156,71.19647345582142,63.782617339431624,61.332464994137204,63.24913216094435,70.82956945572705,69.06048533140167,50.18714274528228,50.27208464855733,41.107097322566936,39.59086584205519,36.34368308351178,43.92920353982301
cashConversionCycle,69.71626643342387,93.58064442358868,91.4173802939883,85.44043647252248,105.42171159084965,107.6535973445323,124.48441042144543,127.16890192732896,127.19453766771068,117.85543629356783,108.90181481220264,115.70470259652707,132.44630413226145,108.78628644704807,125.02093041466043,129.35723237341782,110.22083295089212,132.88894114344814,99.36579717720544,93.87358183732808,95.39520086128576,80.41686924819024,73.3451844932185,80.99306653958241,74.91525287515006,80.94379786238308,86.93705374937406,90.26279588345872,87.92562108992286,89.46613219053636,99.82226469532024,124.35957473109681,123.23619034080218,111.48637042631762,127.23541498438348,125.95067242635811,117.14742678044671
grossProfitMargin,0.5696575739988392,0.566487517337032,0.585287111334002,0.5844724965661586,0.5495801387367653,0.5672565098546971,0.5713305562362166,0.5447226749641922,0.5404613694617356,0.620811753851077,0.5999980335257604,0.5829809665791701,0.5706336809903634,0.5728727528783965,0.5592366636441326,0.5633116930786096,0.523627788366701,0.5485696251466462,0.5186409574401868,0.5190038962009058,0.52420847680164,0.5461454878670872,0.5464142438413598,0.5676784733261232,0.575403363094021,0.5703441062118535,0.5679463462254127,0.5638021980974461,0.5617512125285878,0.6080566487092296,0.5984934415263357,0.5852696185883385,0.5818989553515,0.5233947741543448,0.5209662716499545,0.5091911764705882,0.4955357142857143
operatingProfitMargin,0.1955890887986071,0.15479079981507166,0.14205115346038114,0.11936686506638759,0.06301569916027748,0.15273581738838538,0.1405047782406273,0.12836469600434633,0.12033138044672281,0.2027519999919747,0.14805049174854282,0.17310630126704166,0.2026913826938121,0.1928313935405143,0.1766806726093972,0.09086090686901531,0.1952863056213931,0.1980852048087766,0.16882303304260482,0.1996159610166165,0.11630355476361856,0.24738802419569567,0.23899412830460723,0.2498767215011887,0.2398649484468415,0.23762387115402425,0.23800018257736516,0.2341857680568029,0.22882991511616,0.19434786484799857,0.22642003315592008,0.2283111695650056,0.22699728614446635,0.22321247721288232,0.2292616226071103,0.23082983193277312,0.2193452380952381
